type,id,tier,points,bonus_gem,cost_black,cost_white,cost_red,cost_blue,cost_green
# ── TIER 1 (40 cards) ────────────────────────────────────────────────────────
CARD,1,1,0,BLACK,0,1,1,1,1
CARD,2,1,0,BLACK,0,0,1,2,2
CARD,3,1,0,BLACK,0,0,2,1,0
CARD,4,1,0,BLACK,0,1,0,3,0
CARD,5,1,0,BLACK,1,0,0,0,4
CARD,6,1,0,BLACK,0,0,1,1,2
CARD,7,1,0,BLACK,0,0,2,1,2
CARD,8,1,1,BLACK,1,0,0,0,4
# tier 1 extra black (0pts)
CARD,9,1,0,BLACK,0,0,0,3,0
CARD,10,1,0,WHITE,2,0,1,0,1
CARD,11,1,0,WHITE,1,0,1,1,1
CARD,12,1,0,WHITE,0,0,1,3,0
CARD,13,1,0,WHITE,0,2,0,1,2
CARD,14,1,0,WHITE,0,2,0,2,0
CARD,15,1,0,WHITE,0,3,0,0,0
CARD,16,1,1,WHITE,0,4,0,0,0
CARD,17,1,0,WHITE,1,0,1,2,1
CARD,18,1,0,RED,1,1,0,1,1
CARD,19,1,0,RED,0,1,0,2,2
CARD,20,1,0,RED,0,0,3,0,0
CARD,21,1,0,RED,0,1,0,1,3
CARD,22,1,0,RED,0,2,1,1,1
CARD,23,1,1,RED,0,0,4,0,0
CARD,24,1,0,RED,0,0,2,0,2
CARD,25,1,0,RED,2,1,0,0,2
CARD,26,1,0,BLUE,0,2,0,0,1
CARD,27,1,0,BLUE,0,1,1,0,1
CARD,28,1,0,BLUE,0,1,1,2,0
CARD,29,1,0,BLUE,0,0,0,1,1
CARD,30,1,0,BLUE,0,3,0,0,0
CARD,31,1,0,BLUE,0,0,1,0,2
CARD,32,1,0,BLUE,0,2,0,0,2
CARD,33,1,1,BLUE,0,0,0,4,0
CARD,34,1,0,BLUE,2,0,0,1,0
CARD,35,1,0,GREEN,0,0,2,0,1
CARD,36,1,0,GREEN,0,0,0,2,2
CARD,37,1,0,GREEN,0,0,1,0,3
CARD,38,1,0,GREEN,0,1,1,1,1
CARD,39,1,0,GREEN,0,2,1,1,1
CARD,40,1,1,GREEN,0,0,0,0,4
# ── TIER 2 (30 cards) ────────────────────────────────────────────────────────
CARD,41,2,1,BLACK,0,0,0,0,0
CARD,42,2,2,BLACK,0,0,0,5,0
CARD,43,2,2,BLACK,0,0,5,0,0
CARD,44,2,3,BLACK,0,6,0,0,0
CARD,45,2,2,BLACK,0,0,0,0,5
CARD,46,2,1,BLACK,3,0,0,2,2
CARD,47,2,2,WHITE,5,0,0,0,0
CARD,48,2,3,WHITE,6,0,0,0,0
CARD,49,2,2,WHITE,0,0,5,0,0
CARD,50,2,1,WHITE,0,2,3,0,0
CARD,51,2,2,WHITE,0,0,0,5,0
CARD,52,2,1,WHITE,2,0,0,2,3
CARD,53,2,1,RED,0,3,0,0,2
CARD,54,2,2,RED,0,0,0,5,0
CARD,55,2,3,RED,0,0,6,0,0
CARD,56,2,2,RED,0,5,0,0,0
CARD,57,2,1,RED,3,2,0,0,2
CARD,58,2,1,RED,0,2,0,3,0
CARD,59,2,1,BLUE,0,0,2,0,3
CARD,60,2,2,BLUE,0,0,0,0,5
CARD,61,2,3,BLUE,0,0,0,6,0
CARD,62,2,2,BLUE,0,2,0,0,4
CARD,63,2,1,BLUE,0,2,3,0,0
CARD,64,2,1,BLUE,0,3,0,2,0
CARD,65,2,1,GREEN,0,3,0,2,2
CARD,66,2,2,GREEN,0,0,0,0,5
CARD,67,2,3,GREEN,0,0,0,0,6
CARD,68,2,2,GREEN,0,0,5,3,0
CARD,69,2,1,GREEN,0,2,2,0,3
CARD,70,2,1,GREEN,0,0,3,0,2
# ── TIER 3 (20 cards) ────────────────────────────────────────────────────────
CARD,71,3,3,BLACK,0,3,3,3,5
CARD,72,3,4,BLACK,0,0,7,0,0
CARD,73,3,5,BLACK,3,0,7,0,0
CARD,74,3,4,BLACK,0,3,6,3,0
CARD,75,3,3,BLACK,3,3,0,0,5
CARD,76,3,3,WHITE,3,0,3,3,5
CARD,77,3,4,WHITE,7,0,0,0,0
CARD,78,3,5,WHITE,7,3,0,0,0
CARD,79,3,4,WHITE,3,3,3,5,0
CARD,80,3,3,WHITE,0,3,5,3,3
CARD,81,3,3,RED,5,3,0,3,3
CARD,82,3,4,RED,0,0,0,7,0
CARD,83,3,5,RED,0,0,0,7,3
CARD,84,3,4,RED,3,5,0,3,3
CARD,85,3,3,RED,3,0,3,5,3
CARD,86,3,3,BLUE,3,3,5,0,3
CARD,87,3,4,BLUE,0,7,0,0,0
CARD,88,3,5,BLUE,0,7,0,3,0
CARD,89,3,4,BLUE,5,3,3,3,0
CARD,90,3,3,BLUE,0,3,3,0,6
# ── NOBLES (10 tiles) ────────────────────────────────────────────────────────
# type,id,points,req_black,req_white,req_red,req_blue,req_green
NOBLE,1,3,0,0,4,0,4
NOBLE,2,3,4,4,0,0,0
NOBLE,3,3,0,0,0,4,4
NOBLE,4,3,4,0,4,0,0
NOBLE,5,3,0,4,0,4,0
NOBLE,6,3,0,3,3,3,0
NOBLE,7,3,3,3,3,0,0
NOBLE,8,3,0,3,0,3,3
NOBLE,9,3,0,4,0,0,4
NOBLE,10,3,4,0,0,4,0
